2019-12-30 14:23:48.897 [info]  RegisterEvent: EVENT_TEST_MAP
2019-12-30 14:23:48.897 [info]  Initializing 'ydwe_on_startup'
2019-12-30 14:23:48.898 [info]  Initializing 'w3x2lni.check_object'
2019-12-30 14:23:48.898 [info]  Initializing 'virtual_storm'
2019-12-30 14:23:48.898 [info]  Initializing 'ffi.storm'
2019-12-30 14:23:48.899 [info]  Initializing 'w3x2lni.open_map'
2019-12-30 14:23:48.899 [info]  Initializing 'w3x2lni.lniloader'
2019-12-30 14:23:48.899 [info]  Initializing 'w3x2lni.wtgloader'
2019-12-30 14:23:48.899 [info]  Initializing 'w3x2lni.wtg_checker'
2019-12-30 14:23:48.900 [info]  Initializing 'w3x2lni.wtg_reader'
2019-12-30 14:23:48.900 [info]  Initializing 'triggerdata'
2019-12-30 14:23:48.900 [info]  Initializing 'ui-builder.init'
2019-12-30 14:23:48.900 [info]  Initializing 'ui-builder.old-reader'
2019-12-30 14:23:48.901 [info]  Initializing 'ui-builder.new-reader'
2019-12-30 14:23:48.901 [info]  Initializing 'ui-builder.old-writer'
2019-12-30 14:23:48.901 [info]  Initializing 'ui-builder.new-writer'
2019-12-30 14:23:48.901 [info]  Initializing 'ui-builder.merge'
2019-12-30 14:23:48.902 [info]  Initializing 'uiloader'
2019-12-30 14:23:48.902 [info]  Initializing 'stringify_slk'
2019-12-30 14:23:48.902 [info]  Initializing 'mpqloader'
2019-12-30 14:23:48.902 [info]  RegisterEvent: EVENT_WE_START
2019-12-30 14:23:48.902 [info]  RegisterEvent: EVENT_WE_EXIT
2019-12-30 14:23:48.902 [info]  RegisterEvent: EVENT_MSS_LOAD
2019-12-30 14:23:48.902 [info]  Initializing 'ydwe_on_dialog_message'
2019-12-30 14:23:48.903 [info]  Initializing 'WEString'
2019-12-30 14:23:48.909 [info]  RegisterEvent: EVENT_DIALOG_MESSAGE
2019-12-30 14:23:48.909 [info]  Initializing 'ydwe_on_new_object_id'
2019-12-30 14:23:48.909 [info]  RegisterEvent: EVENT_NEW_OBJECT_ID
2019-12-30 14:23:48.909 [info]  ********************* ydwe initialize end *********************
2019-12-30 14:23:48.919 [info]  Entering main program.
2019-12-30 14:23:48.920 [info]  ********************* on startup start *********************
2019-12-30 14:23:48.922 [info]  ydwe version 1.32.12.191230
2019-12-30 14:23:48.922 [info]  war3 version 1.26.0.6401
2019-12-30 14:23:48.922 [info]  Initializing 'gitlog'
2019-12-30 14:23:48.922 [info]  commit: 410db4e195974253f775c22d012d2187ae7685d5
2019-12-30 14:23:48.922 [info]  data: Fri Dec 27 16:57:42 2019 +0800
2019-12-30 14:23:48.922 [info]  war3 path D:/war3
2019-12-30 14:23:48.922 [info]  check_conflicting_ui
2019-12-30 14:23:48.922 [info]  check_conflicting_units
2019-12-30 14:23:48.922 [info]  clear_potential_conflicting
2019-12-30 14:23:48.922 [info]  check_war3_version
2019-12-30 14:23:48.928 [info]  Load plugin config D:/Git/YDWE/Build/publish/Release/plugin/tesh/Tesh.plcfg
2019-12-30 14:23:48.933 [info]  Tesh loaded successfully.
2019-12-30 14:23:48.933 [info]  Load plugin config D:/Git/YDWE/Build/publish/Release/plugin/YDClient.plcfg
2019-12-30 14:23:48.934 [info]  YDClient loaded successfully.
2019-12-30 14:23:48.934 [info]  Load plugin config D:/Git/YDWE/Build/publish/Release/plugin/YDColorizer/YDColorizer.plcfg
2019-12-30 14:23:48.935 [warn]  failed: disable
2019-12-30 14:23:48.935 [info]  Load plugin config D:/Git/YDWE/Build/publish/Release/plugin/YDTaskbarSupport.plcfg
2019-12-30 14:23:48.949 [info]  YDTaskbarSupport loaded successfully.
2019-12-30 14:23:48.949 [info]  Load plugin config D:/Git/YDWE/Build/publish/Release/plugin/YDTrigger.plcfg
2019-12-30 14:23:48.950 [info]  YDTrigger loaded successfully.
2019-12-30 14:23:48.950 [info]  Initializing 'ui'
2019-12-30 14:23:48.951 [info]  Initializing 'bee.registry'
2019-12-30 14:23:48.951 [info]  ********************* on startup end *********************
2019-12-30 14:23:49.399 [info]  virtual_mpq 'worldeditdata'
2019-12-30 14:23:49.402 [info]  virtual_mpq 'worldeditstrings'
2019-12-30 14:23:49.419 [info]  virtual_mpq 'triggerdata'
2019-12-30 14:23:49.419 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/japi
2019-12-30 14:23:49.423 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydwe
2019-12-30 14:23:49.520 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydtrigger
2019-12-30 14:23:49.531 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/unknownui
2019-12-30 14:23:49.578 [info]  virtual_mpq 'triggerstrings'
2019-12-30 14:23:49.671 [info]  Loading provider D:\war3\redist\miles\Mp3dec.asi
2019-12-30 14:23:49.674 [info]  Loading provider D:\war3\redist\miles\Mssdolby.m3d
2019-12-30 14:23:49.675 [info]  Loading provider D:\war3\redist\miles\Msseax2.m3d
2019-12-30 14:23:49.677 [info]  Loading provider D:\war3\redist\miles\Mssfast.m3d
2019-12-30 14:23:49.678 [info]  Loading provider D:\war3\redist\miles\Reverb3.flt
2019-12-30 14:23:50.688 [info]  ********************* on menuinit start *********************
2019-12-30 14:23:50.688 [info]  ********************* on menuinit end *********************
